time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15,normal_reference_16
35,-1.0704757,-1.014372,-0.95646137,-0.9471418,-1.062095,-0.95879126,-1.0701089,-0.9891423,-1.0252893,-1.0719429,-0.9674881,-1.0085196,-1.0256157,-1.0048809,-1.014372,-1.021379,-0.98641205,-0.9929822,-1.0187558,-1.0317582
36,-1.0972861,-1.0601085,-0.9988526,-1.0100689,-1.0691592,-0.98100895,-1.0797313,-1.014335,-1.058346,-1.125333,-1.0033135,-1.0638666,-1.0859067,-1.0601085,-1.0354125,-1.0744967,-1.0454752,-1.052015,-1.0848153,-1.0902745
37,-1.1517307,-1.1078414,-1.0563407,-1.0677491,-1.116206,-1.0271213,-1.1338531,-1.0636456,-1.1040728,-1.1731095,-1.0638475,-1.1094325,-1.1409986,-1.0742639,-1.0844657,-1.1119242,-1.0826117,-1.1078414,-1.1463859,-1.1430908
38,-1.190696,-1.1271648,-1.0939711,-1.1198019,-1.1572309,-1.0423658,-1.1821785,-1.1068724,-1.1511197,-1.1778847,-1.1193362,-1.1156482,-1.1876628,-1.1236652,-1.1271648,-1.124901,-1.1118196,-1.1376923,-1.2028288,-1.1606802
39,-1.218529,-1.1626022,-1.1091175,-1.1663289,-1.1590418,-1.0851969,-1.190478,-1.144071,-1.1915162,-1.2122444,-1.1360632,-1.1520518,-1.2153594,-1.144142,-1.1636794,-1.1589128,-1.1150976,-1.1626022,-1.2312069,-1.1701435
40,-1.2558855,-1.193848,-1.1396676,-1.2058657,-1.1861113,-1.12103,-1.2251848,-1.144327,-1.2254696,-1.2390625,-1.1789653,-1.181737,-1.2512401,-1.1836792,-1.193848,-1.1865091,-1.1576681,-1.1988817,-1.2744668,-1.2017698
41,-1.2859608,-1.2164994,-1.1615932,-1.2392763,-1.2063112,-1.1507946,-1.2533174,-1.1642928,-1.2181664,-1.2591451,-1.2156918,-1.204279,-1.279823,-1.2166502,-1.2164994,-1.2066565,-1.2069772,-1.2290556,-1.310512,-1.2139412
42,-1.3079904,-1.2421283,-1.1858975,-1.2653359,-1.2191437,-1.1733456,-1.2742904,-1.1890354,-1.2355479,-1.27151,-1.2459741,-1.2200851,-1.3003201,-1.2426821,-1.2322832,-1.2202216,-1.2294201,-1.251628,-1.3386718,-1.2421283
43,-1.3218654,-1.2505798,-1.2161978,-1.2544264,-1.2243466,-1.1889008,-1.2874882,-1.2230221,-1.2476151,-1.2763923,-1.2687073,-1.2280091,-1.3127409,-1.2614572,-1.2409384,-1.2256963,-1.2445686,-1.2675353,-1.3583634,-1.2505798
44,-1.3219571,-1.2521423,-1.2027491,-1.251751,-1.2222337,-1.1975259,-1.2934805,-1.2238415,-1.2521423,-1.2737423,-1.284379,-1.2291272,-1.3164134,-1.2723956,-1.204055,-1.2243992,-1.252593,-1.2754953,-1.3441317,-1.2514879
45,-1.3234272,-1.263187,-1.205477,-1.2551796,-1.2128289,-1.1982845,-1.2913615,-1.2173254,-1.2857014,-1.263187,-1.2928857,-1.2224433,-1.3115938,-1.2754992,-1.2072752,-1.2152548,-1.2527719,-1.27647,-1.3707612,-1.2770778
46,-1.3112411,-1.2517563,-1.1951314,-1.2517563,-1.195827,-1.1923493,-1.2816957,-1.2034155,-1.2750871,-1.2456445,-1.2932818,-1.2087115,-1.2982583,-1.2708966,-1.2216367,-1.1991537,-1.2454586,-1.26948,-1.3631725,-1.2628706
47,-1.3061618,-1.2407609,-1.1749333,-1.25438,-1.171628,-1.1786056,-1.2647384,-1.1817,-1.2566087,-1.2000614,-1.2863508,-1.1877693,-1.2765874,-1.2586504,-1.2003981,-1.1757597,-1.2310075,-1.2960624,-1.3465596,-1.2407609
48,-1.2843157,-1.2107034,-1.1428632,-1.2653574,-1.1407169,-1.1910439,-1.2750688,-1.1531727,-1.2308615,-1.1515683,-1.2722223,-1.1596639,-1.2472647,-1.2389197,-1.1433997,-1.1455153,-1.2089049,-1.2739927,-1.3213032,-1.2107034
49,-1.2577811,-1.1984196,-1.1076882,-1.239308,-1.1033962,-1.1752104,-1.2429827,-1.118053,-1.1984196,-1.1132666,-1.2502409,-1.1646463,-1.2209557,-1.211569,-1.1377265,-1.1087612,-1.1798148,-1.2450643,-1.287942,-1.2027664
50,-1.226552,-1.1579344,-1.0643225,-1.2059023,-1.0595706,-1.1400806,-1.2039309,-1.0961571,-1.1587409,-1.1041408,-1.2214096,-1.1245078,-1.1847396,-1.1772854,-1.0963798,-1.0655105,-1.1442156,-1.2089804,-1.247122,-1.1579344
51,-1.2009141,-1.1344172,-1.048466,-1.2063913,-1.0400689,-1.0989791,-1.1584191,-1.0590811,-1.1467321,-1.0531547,-1.1860509,-1.076456,-1.1344172,-1.1365261,-1.0544518,-1.0505652,-1.1273685,-1.1665736,-1.1995448,-1.134543
52,-1.1488221,-1.0943975,-0.994187,-1.1604224,-0.9845079,-1.0510437,-1.1393386,-1.0052525,-1.0943975,-0.99660677,-1.1437978,-1.047943,-1.1003968,-1.1181076,-1.029792,-1.0142621,-1.1009524,-1.1178302,-1.145922,-1.0766656
53,-1.1073433,-1.0494359,-0.9566073,-1.107425,-0.92402595,-0.9976752,-1.0813463,-0.9647526,-1.0784985,-0.96528864,-1.1073229,-1.0007282,-1.0494359,-1.0648569,-0.97057563,-0.992003,-1.06615,-1.0711951,-1.0869411,-1.013588
54,-1.0598421,-0.99023646,-0.90896255,-1.056284,-0.9053888,-0.97914875,-1.018536,-0.91899484,-1.02426,-0.9155702,-1.0740747,-0.96465725,-0.99023646,-1.0061061,-0.90985596,-0.9460103,-1.027942,-1.0389886,-1.0423055,-0.94597906
55,-1.0156825,-0.92697257,-0.8581899,-1.0221499,-0.85381097,-0.9140143,-0.9765097,-0.8678036,-0.9813611,-0.85928464,-1.0140656,-0.913591,-0.92697257,-0.96840674,-0.86867374,-0.8901779,-0.9701148,-0.98146677,-0.9735987,-0.9029025
56,-0.95476925,-0.8986931,-0.8001635,-0.9534514,-0.7972357,-0.88259435,-0.9303315,-0.81115997,-0.94316316,-0.80089545,-0.96004075,-0.85923606,-0.861551,-0.89982617,-0.8363575,-0.8363139,-0.8986931,-0.9361396,-0.9013184,-0.90682656
57,-0.91263765,-0.8287644,-0.73756176,-0.92526615,-0.7378331,-0.8228416,-0.8823289,-0.7651023,-0.89337564,-0.73647654,-0.9094805,-0.8287644,-0.80128676,-0.8311815,-0.7762648,-0.7738674,-0.8432542,-0.89253926,-0.82766783,-0.85024744
58,-0.8561879,-0.78167343,-0.69387406,-0.86273354,-0.69271,-0.79345304,-0.8025291,-0.7087226,-0.8112344,-0.6941651,-0.8545515,-0.76072997,-0.73041034,-0.7743903,-0.71918225,-0.7137325,-0.78167343,-0.81222314,-0.78308123,-0.7847629
59,-0.79806715,-0.71487,-0.6214447,-0.8139469,-0.62174517,-0.72246164,-0.7446638,-0.6403517,-0.7608406,-0.6202427,-0.79409724,-0.6985422,-0.6604221,-0.7162607,-0.6675966,-0.66321206,-0.71560895,-0.7580326,-0.70246845,-0.71487
60,-0.7331508,-0.64039797,-0.54693276,-0.74864084,-0.54721814,-0.65842265,-0.6809213,-0.5600348,-0.6900857,-0.5457911,-0.72927827,-0.64039797,-0.5852469,-0.664562,-0.5931999,-0.59070367,-0.6705111,-0.69304985,-0.63402563,-0.6374737
61,-0.68777883,-0.5720944,-0.4860893,-0.70144534,-0.48889008,-0.59989697,-0.6048017,-0.49132618,-0.62285376,-0.47488615,-0.68436223,-0.56381166,-0.5074955,-0.5929966,-0.5383817,-0.53210425,-0.5946407,-0.6338772,-0.5656124,-0.5720944
62,-0.61749005,-0.49119142,-0.4055096,-0.6472975,-0.40677223,-0.5313199,-0.5432163,-0.4130315,-0.55676943,-0.40045908,-0.6100382,-0.48906556,-0.4273185,-0.5157461,-0.4780723,-0.44902068,-0.53854394,-0.56038153,-0.49119142,-0.48699927
63,-0.55647665,-0.41357738,-0.3360287,-0.56376326,-0.33961084,-0.45751756,-0.46387395,-0.34969693,-0.4944026,-0.32170013,-0.554655,-0.40822905,-0.3582773,-0.43976578,-0.39230952,-0.38327906,-0.45454213,-0.47495776,-0.4103253,-0.41357738
64,-0.49402422,-0.33068633,-0.2615712,-0.49682632,-0.26696593,-0.39323932,-0.37785816,-0.28086036,-0.41670474,-0.23999222,-0.49332368,-0.32657734,-0.28166145,-0.35852355,-0.3216474,-0.3140332,-0.36743838,-0.41018727,-0.33068633,-0.32574326
65,-0.41129363,-0.24895261,-0.17131878,-0.42757076,-0.17675637,-0.32380366,-0.30725023,-0.19337206,-0.33579597,-0.14956845,-0.40722433,-0.24127905,-0.20056026,-0.28285447,-0.24748822,-0.23966323,-0.29793328,-0.31817198,-0.24895261,-0.24265815
66,-0.3400928,-0.16951965,-0.09195623,-0.35062304,-0.09805669,-0.24945828,-0.21622014,-0.11824166,-0.2600773,-0.06755436,-0.33746025,-0.16334759,-0.11727116,-0.19946298,-0.16897468,-0.15852106,-0.22333111,-0.22638164,-0.16951965,-0.14795753
67,-0.2554149,-0.08620479,-0.004737569,-0.25355127,-0.012279491,-0.15806684,-0.12276655,-0.038459826,-0.17363559,0.025430154,-0.26286936,-0.07638094,-0.031642914,-0.11479692,-0.08620479,-0.060622197,-0.12672697,-0.14752296,-0.08430157,-0.062167104
68,-0.16866398,0.00015149965,0.088720664,-0.17218643,0.0821018,-0.06559258,-0.04296518,0.055928644,-0.08144479,0.11519616,-0.16778336,0.026233736,0.054745127,-0.037181206,0.00015149965,0.024570942,-0.045147926,-0.06717124,0.0024511055,0.026656177
69,-0.074016295,0.08701639,0.1779335,-0.08648089,0.1698133,0.020703357,0.054787274,0.1402845,0.004750729,0.21041432,-0.07090015,0.11593933,0.14460197,0.05208103,0.10224312,0.1133138,0.040519718,0.024698783,0.08701639,0.12239334
70,0.015404711,0.17270319,0.2750035,0.01598232,0.26541305,0.11054225,0.14017482,0.22853832,0.09813217,0.31336528,0.013094269,0.2093105,0.23765925,0.13950828,0.19653063,0.22010374,0.14433332,0.12141511,0.17270319,0.22723901
71,0.109089196,0.26367834,0.37150276,0.11127336,0.36339453,0.20392123,0.2286927,0.32807937,0.19879837,0.40393573,0.10035253,0.32363814,0.32369155,0.22559857,0.29151404,0.32633528,0.23550653,0.21155585,0.26367834,0.33651462
72,0.20993982,0.35564306,0.47308356,0.21477282,0.4670171,0.30063826,0.33158937,0.41962484,0.29310054,0.49734938,0.1906078,0.42277208,0.40183395,0.3243848,0.36049584,0.42388096,0.32993934,0.3044942,0.35564306,0.4313273
73,0.31050283,0.4467259,0.5767138,0.3171463,0.56974274,0.40012738,0.42433348,0.5144234,0.39203846,0.60459816,0.28392896,0.52525526,0.49740338,0.41488364,0.4536753,0.53431416,0.43918318,0.41407755,0.4467259,0.5312861
74,0.4111093,0.5407243,0.6764417,0.41619098,0.67009866,0.50854963,0.5298435,0.6178293,0.49897444,0.701814,0.3907826,0.6305013,0.58924145,0.5076892,0.5560915,0.6346303,0.5379528,0.5243936,0.5407243,0.6383111
75,0.5137384,0.63932455,0.7758061,0.5175362,0.7694539,0.62087274,0.6011963,0.71500057,0.59958494,0.8012151,0.49854693,0.73849094,0.67176634,0.61056995,0.6608206,0.73678434,0.63932455,0.62358266,0.6316419,0.7426744
76,0.6165349,0.74286515,0.8770391,0.6212933,0.8706658,0.7272483,0.6987915,0.8148755,0.70304745,0.90253234,0.5975012,0.84901196,0.7629968,0.70669985,0.7675706,0.8412415,0.74286515,0.73625374,0.72708535,0.84632754
77,0.72866064,0.8484768,0.9800562,0.7339216,0.9736137,0.83587235,0.8068986,0.9212106,0.8145426,1.0058264,0.707617,0.9231619,0.8589824,0.8047075,0.87652147,0.94757414,0.8484768,0.8390182,0.82312846,0.9531407
78,0.8376693,0.9561399,1.074125,0.84456134,1.0780861,0.9464751,0.90747064,1.0228207,0.92013377,1.0731348,0.81010115,1.0347437,0.95730823,0.9105923,0.99337786,1.0558132,0.9561399,0.94363874,0.9232085,1.0601786
79,0.9471352,1.0591831,1.1804785,0.9534577,1.1839759,1.0591831,1.0098939,1.1266614,1.0273594,1.179604,0.92184526,1.1509259,1.0530792,1.0112591,1.0675503,1.1657331,1.072999,1.0503211,1.0201876,1.1653188
80,1.0509708,1.173531,1.2882378,1.063943,1.2912523,1.173531,1.120505,1.2352473,1.14213,1.2874842,0.9990816,1.2616853,1.1501274,1.1153308,1.1801707,1.2772319,1.1833347,1.158624,1.1176231,1.2720677
81,1.1619645,1.2760947,1.3973958,1.1761425,1.3997817,1.2760947,1.2252591,1.3403966,1.2573,1.3967994,1.1052526,1.3754781,1.2496268,1.2215455,1.2943373,1.3902394,1.2953292,1.2686875,1.215493,1.3791434
82,1.2756395,1.373591,1.5001358,1.2897913,1.4795372,1.361828,1.3314823,1.4467046,1.3675737,1.5013148,1.219032,1.494262,1.3464617,1.3257571,1.4085422,1.4998411,1.4074935,1.373591,1.3129084,1.4831262
83,1.377517,1.4839131,1.6091601,1.4041777,1.5865432,1.4746288,1.4383903,1.5514117,1.4792,1.6080068,1.3274083,1.59677,1.444315,1.4312227,1.5227256,1.613773,1.5186505,1.4839131,1.3900441,1.585514
84,1.4762758,1.5931885,1.6874764,1.5163327,1.694475,1.5931885,1.543454,1.6586328,1.5594049,1.6644624,1.4371206,1.6503681,1.5401547,1.5377887,1.6368386,1.6857268,1.6331753,1.5518932,1.4860646,1.6338898
85,1.5754175,1.6698751,1.7426292,1.6309409,1.754813,1.7100002,1.6366308,1.7250367,1.6698751,1.7186338,1.545013,1.6869287,1.6178755,1.6419177,1.7069092,1.7395833,1.7375909,1.6404114,1.5830187,1.6694969
86,1.6574255,1.7230953,1.7828362,1.6899854,1.8022052,1.7524443,1.7213303,1.7779939,1.7273064,1.7528644,1.6166042,1.7230953,1.6750787,1.7116792,1.7653606,1.7522427,1.7584251,1.6862282,1.6788841,1.6676308
87,1.6859081,1.7468538,1.793188,1.745844,1.8023115,1.7468538,1.7753491,1.7813951,1.7779657,1.7465487,1.6902556,1.7196347,1.7115148,1.7646809,1.7684879,1.7501037,1.7909071,1.7077227,1.745151,1.668518
88,1.6877258,1.7528673,1.7921191,1.7528673,1.8053943,1.7444834,1.787487,1.782799,1.7742469,1.7150166,1.7423327,1.7108799,1.7134953,1.7644305,1.770982,1.7431093,1.7888004,1.7178035,1.762031,1.5951095
89,1.647989,1.7476717,1.7870846,1.7526855,1.777654,1.7454312,1.7874978,1.7869813,1.7733932,1.7097234,1.7476717,1.6792715,1.7179544,1.7646362,1.7443608,1.7146137,1.7571226,1.7177315,1.7617635,1.5228596
90,1.6096864,1.7359109,1.7553878,1.7553066,1.7401992,1.7034357,1.7541707,1.7410704,1.7395816,1.6575271,1.7437525,1.670363,1.6952045,1.7359109,1.7287043,1.6699116,1.7364448,1.7117918,1.7557124,1.4183235
91,1.5066111,1.6857201,1.7257974,1.7432772,1.6322806,1.6921313,1.7199891,1.686279,1.7214274,1.5556635,1.7098697,1.6490966,1.6117027,1.70678,1.6727787,1.6180531,1.718764,1.6857201,1.675209,1.3104014
92,1.3962502,1.5979446,1.7160298,1.7261157,1.5273267,1.6380496,1.6120088,1.5817746,1.6606854,1.4458445,1.7135082,1.5979446,1.5171566,1.6306045,1.5605619,1.5278198,1.6638691,1.6440213,1.5878388,1.1978734
93,1.2919093,1.5033139,1.6400605,1.6299015,1.4197856,1.5300103,1.5033139,1.4805768,1.5485559,1.3349657,1.6806964,1.5009489,1.4243422,1.545016,1.4517769,1.4367839,1.557572,1.563779,1.5052569,1.1196836
94,1.1832016,1.3968723,1.5314317,1.521723,1.3134687,1.4140137,1.3968723,1.3763047,1.4397526,1.2252848,1.5702662,1.3799877,1.3300585,1.4503944,1.3329817,1.3225346,1.4447033,1.4564784,1.4086424,1.0148683
95,1.0753936,1.2889204,1.4199343,1.4101431,1.2085277,1.3433579,1.2889204,1.2733144,1.3335788,1.1170923,1.4590989,1.2671714,1.2319386,1.3475178,1.2213188,1.2097598,1.3350477,1.3477495,1.3114226,0.9085986
96,0.9784473,1.1821878,1.3140749,1.3052008,1.0984894,1.2266335,1.1821878,1.1652188,1.219402,1.0030304,1.3495711,1.153525,1.1373315,1.2389354,1.1188594,1.1059365,1.2226019,1.2439187,1.2131819,0.88011503
97,0.89128387,1.0769013,1.2036586,1.1948531,0.98661083,1.1113828,1.0769013,1.0575441,1.1093396,0.8971691,1.2388806,1.0411824,1.0357127,1.1360999,1.0236852,0.99687505,1.1116322,1.1346864,1.1139418,0.8677429
98,0.78702766,0.9659969,1.0949137,1.0862598,0.8793967,0.997969,0.9659969,0.957692,1.0020266,0.79304653,1.1295295,0.93279195,0.93824583,1.0288026,0.9153493,0.889685,1.0023552,1.0240813,1.0165339,0.7629521
99,0.7391656,0.86301726,0.9818493,0.9719144,0.77159977,0.886381,0.86301726,0.85157067,0.89118916,0.6821844,1.0215889,0.8200393,0.84126157,0.9254172,0.7999066,0.78435314,0.8948998,0.911398,0.9169711,0.7534109
100,0.6538173,0.77674544,0.9066611,0.90449244,0.67219824,0.77674544,0.7618915,0.74601424,0.7840887,0.5802934,0.91533566,0.7094571,0.7448003,0.82077897,0.6943557,0.6811153,0.7892914,0.8068159,0.8201885,0.84187555
101,0.5517994,0.6626197,0.7940531,0.7898755,0.5721372,0.6626197,0.6534567,0.6500486,0.6812889,0.47044834,0.81076324,0.6016101,0.6533873,0.7171246,0.58097786,0.57624936,0.6858183,0.704205,0.7239296,0.7652458
102,0.4478075,0.5749447,0.6909661,0.68682957,0.46939772,0.55046725,0.5552752,0.5464996,0.5749447,0.36595318,0.70751244,0.49633205,0.5782162,0.62037766,0.46827108,0.46854,0.58462137,0.5915558,0.6320543,0.65458953
103,0.34659752,0.47136924,0.5885196,0.58624876,0.3653944,0.44692972,0.45927915,0.4437174,0.47136924,0.27141002,0.5976029,0.3940516,0.47835264,0.52031946,0.36774787,0.37161246,0.47362918,0.4925679,0.5374669,0.5352148
104,0.25579542,0.37429002,0.49003467,0.48799214,0.26776522,0.34594387,0.3541351,0.34204918,0.37429002,0.20791622,0.49820477,0.29492548,0.38823962,0.450295,0.26996782,0.27726635,0.37650815,0.39628935,0.43880793,0.46927908
